Date,Description,Debit,Credit,Balance
10/02, POS PURCHASE, 4.23, 65.73,0
10/03, PREAUTHORIZED CREDIT, 763.01, 828.74,0
10/04, POS PURCHASE, 11.681, 817.06,0
10/05, CHECK 1234, 9.98, 0,807.08
10/05, POSPURCHASE, 25.50, 781.58,0
10/08, POS PURCHASE, 59.08, 722.50,0
10/12, CHECK 1236, 69.00, 0,653.50
10/14, CHECK 1237, 180.63, 0,472.87
10/14, POS PURCHASE, 18.96, 453.91,0
10/16, PREAUTHORIZED CREDIT, 763.01, 1216.92,0
10/22, ATM WITHDRAWAL, 140.00, 1076.92,0
10/28, CHECK 1238, 91.06, 0,985.86
10/30, CHECK 1239, 451.20, 0,534.66
10/30, CHECK 1246, 37.07, 0,497.59
10/30, POS PURCHASE, 18.67, 478.92,0
10/31, CHECK 1247, 100.00, 0,378.92
10/31, CHECK 1248, 78.24, 0,350.00
10/31, PREAUTHORIZED CREDIT,300.68, 650.68,0
11/02, CHECK1249, 52.23, 0,598.45
11/09, INTERESTCREDIT, 26, 598.71,0
11/09, SERVICE CHARGE, 12.00, 586.71,0
